Country,Series,Year,GDP per capita
,,2003,32272.84589
,,2004,37966.18725
,,2005,40064.22493
,,2006,42674.75897
,,2007,47804.84993
,,2008,48719.65877
,,2009,43504.21565
,,2010,40849.76128
,,2011,43333.97304
,,2012,38684.56653
,,2013,39538.35521
,,2014,41302.38214
,,2015,35770.91865
,,2016,37474.74584
,,2017,38964.66201
,,2018,41793.31884
,,2019,40898.41791
,,2020,37416.69772
,,2021,43047.68627
Angola,GDP per capita (current US$),1960,
,,1961,
,,1962,
,,1963,
,,1964,
,,1965,
,,1966,
,,1967,
,,1968,
,,1969,
,,1970,
,,1971,
,,1972,
,,1973,
,,1974,
,,1975,
,,1976,
,,1977,
,,1978,
,,1979,
,,1980,710.9815629
,,1981,642.3814789
,,1982,619.9599034
,,1983,623.4400473
,,1984,637.715098
,,1985,758.2378806
,,1986,685.2697533
,,1987,756.2620653
,,1988,792.3030486
,,1989,890.5535922
,,1990,947.7042621
,,1991,865.6927296
,,1992,656.3620152
,,1993,441.200842
,,1994,328.6731487
,,1995,397.1794793
,,1996,522.6436984
,,1997,514.2951541
,,1998,423.5936878
,,1999,387.7842672
,,2000,556.8361822
,,2001,527.3335285
,,2002,872.4944418
,,2003,982.9609819
,,2004,1255.564238
,,2005,1902.42215
,,2006,2599.565948
,,2007,3121.996085
,,2008,4080.941015
,,2009,3122.781743
,,2010,3497.974488
,,2011,4518.31335
,,2012,4978.434435
,,2013,5127.717243
,,2014,5094.112329
,,2015,3127.890598
,,2016,1728.023754
,,2017,2313.220584
,,2018,2524.942483
,,2019,2177.799015
,,2020,1631.431691
,,2021,2137.909393
Antigua and Barbuda,GDP per capita (current US$),1960,
,,1961,
,,1962,
,,1963,
,,1964,
,,1965,
,,1966,
,,1967,
,,1968,
,,1969,
,,1970,
,,1971,
,,1972,
,,1973,
,,1974,
,,1975,
,,1976,
,,1977,1246.69016
,,1978,1416.540531
,,1979,1760.831324
,,1980,2124.618526
,,1981,2392.686958
,,1982,2660.558091
,,1983,2948.317275
,,1984,3372.60207
,,1985,3899.39184
,,1986,4703.179401
,,1987,5463.595383
,,1988,6454.835451
,,1989,7076.536335
,,1990,7347.646369
,,1991,7602.345334
,,1992,7745.7218
,,1993,8136.188547
,,1994,8771.143727
,,1995,8406.358945
,,1996,9030.574978
,,1997,9491.660766
,,1998,9940.852228
,,1999,10260.59941
,,2000,10872.29295
,,2001,10367.31961
,,2002,10401.05088
,,2003,10797.95106
,,2004,11446.96914
,,2005,12557.54785
,,2006,13995.80442
,,2007,15622.69287
,,2008,16044.1058
,,2009,14160.562
,,2010,13048.96058
,,2011,12746.63347
,,2012,13272.73494
,,2013,12910.59063
,,2014,13501.58092
,,2015,14285.32978
,,2016,15198.74297
,,2017,15383.5764
,,2018,16679.59166
,,2019,17376.64968
,,2020,13992.74448
,,2021,14900.7974
Argentina,GDP per capita (current US$),1960,
,,1961,
,,1962,1155.890717
,,1963,850.3045786
,,1964,1173.238105
,,1965,1279.113778
,,1966,1272.803204
,,1967,1062.543412
,,1968,1141.080432
,,1969,1329.058546
,,1970,1322.590638
,,1971,1372.374174
,,1972,1408.86538
,,1973,2097.02283
,,1974,2844.863312
,,1975,2027.337202
,,1976,1948.224686
,,1977,2129.708361
,,1978,2146.364959
,,1979,2520.920716
,,1980,2758.834816
,,1981,2776.322088
,,1982,2927.897357
,,1983,3553.377509
,,1984,2659.708242
,,1985,2926.126485
,,1986,3613.621709
,,1987,3562.876059
,,1988,3985.192469
,,1989,2383.867471
,,1990,4333.483372
,,1991,5735.359981
,,1992,6823.538837
,,1993,6969.119729
,,1994,7483.140334
,,1995,7408.708664
,,1996,7721.354105
,,1997,8213.125127
,,1998,8289.507568
,,1999,7774.736203
,,2000,7708.099115
,,2001,7208.373114
,,2002,2593.404563
,,2003,3349.8063
,,2004,4277.721573
,,2005,5109.852245
,,2006,5919.012338
,,2007,7245.446857
,,2008,9020.873323
,,2009,8225.137583
,,2010,10385.96443
,,2011,12848.8642
,,2012,13082.66433
,,2013,13080.25473
,,2014,12334.79825
,,2015,13789.06042
,,2016,12790.24247
,,2017,14613.04182
,,2018,11795.15939
,,2019,10076.35524
,,2020,8585.694742
,,2021,10729.23258
Armenia,GDP per capita (current US$),1960,
,,1961,
,,1962,
,,1963,
,,1964,
,,1965,
,,1966,
,,1967,
,,1968,
,,1969,
,,1970,
,,1971,
,,1972,
,,1973,
,,1974,
,,1975,
,,1976,
,,1977,
,,1978,
,,1979,
,,1980,
,,1981,
,,1982,
,,1983,
,,1984,
,,1985,
,,1986,
,,1987,
,,1988,
,,1989,
,,1990,637.8559212
,,1991,590.5058756
,,1992,369.7072323
,,1993,357.2028486
,,1994,400.5155938
,,1995,456.3749333
,,1996,504.0598426
,,1997,523.2844107
,,1998,609.1716537
,,1999,597.4328988
,,2000,622.7409229
,,2001,694.4234554
,,2002,783.241215
,,2003,930.1254727
,,2004,1191.921006
,,2005,1643.756889
,,2006,2158.148074
,,2007,3139.28071
,,2008,4010.861381
,,2009,2994.340471
,,2010,3218.378299
,,2011,3525.807198
,,2012,3681.844691
,,2013,3838.17388
,,2014,3986.231624
,,2015,3607.289299
,,2016,3591.828052
,,2017,3914.527854
,,2018,4220.540321
,,2019,4604.646324
,,2020,4266.018074
,,2021,4670.008798
Aruba,GDP per capita (current US$),1960,
,,1961,
,,1962,
,,1963,
,,1964,
,,1965,
,,1966,
,,1967,
,,1968,
,,1969,
,,1970,
,,1971,
,,1972,
,,1973,
,,1974,
,,1975,
,,1976,
,,1977,
,,1978,
,,1979,
,,1980,
,,1981,
,,1982,
,,1983,
,,1984,
,,1985,
,,1986,6474.364948
,,1987,7886.889893
,,1988,9769.584174
,,1989,11395.97802
,,1990,12305.38791
,,1991,13494.68516
,,1992,14048.34727
,,1993,14942.27496
,,1994,16241.57559
,,1995,16441.79064
,,1996,16583.00307
,,1997,17926.78263
,,1998,19080.69579
,,1999,19356.52606
,,2000,20614.79935
,,2001,20417.77596
,,2002,20654.48852
,,2003,21070.07172
,,2004,22834.28465
,,2005,23591.15984
,,2006,24495.01539
,,2007,26452.23195
,,2008,28048.15177
,,2009,25170.83236
,,2010,24134.47386
,,2011,25849.96401
,,2012,25496.84394
,,2013,26442.4268
,,2014,26895.05717
,,2015,28399.05013
,,2016,28453.71556
,,2017,29348.41897
,,2018,30253.71423
,,2019,31135.88436
,,2020,23384.29879
,,2021,
Australia,GDP per capita (current US$),1960,1810.61923
,,1961,1877.616638
,,1962,1854.656834
,,1963,1967.116537
,,1964,2131.377948
,,1965,2281.098797
,,1966,2343.99529
,,1967,2580.271096
,,1968,2724.372519
,,1969,2991.607198
,,1970,3305.126394
,,1971,3495.579294
,,1972,3950.170894
,,1973,4771.671986
,,1974,6484.119872
,,1975,7005.906588
,,1976,7489.59416
,,1977,7778.164008
,,1978,8255.744543
,,1979,9297.333417
,,1980,10211.83719
,,1981,11854.5885
,,1982,12788.54929
,,1983,11538.39842
,,1984,12454.55172
,,1985,11459.17957
,,1986,11384.93824
,,1987,11645.45259
,,1988,14279.15944
,,1989,17828.04823
,,1990,18243.47142
,,1991,18855.762
,,1992,18604.18827
,,1993,17667.1871
,,1994,18079.38018
,,1995,20358.33336
,,1996,21904.29412
,,1997,23509.42347
,,1998,21345.97099
,,1999,20558.9604
,,2000,21697.70848
,,2001,19527.32358
,,2002,20117.78889
,,2003,23492.40517
,,2004,30513.94174
,,2005,34080.9999
,,2006,36117.48798
,,2007,41001.14298
,,2008,49654.9106
,,2009,42783.32257
,,2010,52087.97229
,,2011,62574.1457
,,2012,68027.84171
,,2013,68156.62792
,,2014,62511.69059
,,2015,56707.02208
,,2016,49881.76371
,,2017,53934.25018
,,2018,57180.7794
,,2019,54875.28596
,,2020,51680.31652
,,2021,59934.12941
Austria,GDP per capita (current US$),1960,935.4604269
,,1961,1031.815004
,,1962,1087.834243
,,1963,1167.000532
,,1964,1269.412583
,,1965,1374.53214
,,1966,1486.968606
,,1967,1569.667183
,,1968,1677.673528
,,1969,1825.386126
,,1970,2058.769051
,,1971,2380.978458
,,1972,2924.048879
,,1973,3890.722419
,,1974,4630.757197
,,1975,5285.620724
,,1976,5678.386658
,,1977,6810.627685
,,1978,8205.468977
,,1979,9793.765348
,,1980,10869.54649
,,1981,9385.249064
,,1982,9410.347257
,,1983,9537.40742
,,1984,8991.06504
,,1985,9172.09676
,,1986,13083.07266
,,1987,16392.76952
,,1988,17578.61894
,,1989,17468.94614
,,1990,21680.98962
,,1991,22410.91177
,,1992,24880.16412
,,1993,24081.52779
,,1994,25646.70066
,,1995,30325.84958
,,1996,29809.07677
,,1997,26705.4786
,,1998,27361.87511
,,1999,27183.47593
,,2000,24625.60072
,,2001,24558.76368
,,2002,26527.59309
,,2003,32294.04886
,,2004,36889.23351
,,2005,38417.45779
,,2006,40669.32696
,,2007,46915.3374
,,2008,51919.98358
,,2009,48153.32402
,,2010,46903.76159
,,2011,51442.27625
,,2012,48564.91734
,,2013,50731.12725
,,2014,51786.37717
,,2015,44195.81759
,,2016,45307.58786
,,2017,47429.15846
,,2018,51486.5755
,,2019,50114.40111
,,2020,48588.65938
,,2021,53267.93275
Azerbaijan,GDP per capita (current US$),1960,
,,1961,
,,1962,
,,1963,
,,1964,
,,1965,
,,1966,
,,1967,
,,1968,
,,1969,
,,1970,
,,1971,
,,1972,
,,1973,
,,1974,
,,1975,
,,1976,
,,1977,
,,1978,
,,1979,
,,1980,
,,1981,
,,1982,
,,1983,
,,1984,
,,1985,
,,1986,
,,1987,
,,1988,
,,1989,
,,1990,1234.530889
,,1991,1209.187602
,,1992,60.45821358
,,1993,209.4785718
,,1994,157.0860591
,,1995,314.5612263
,,1996,409.1631891
,,1997,505.5003493
,,1998,561.9068079
,,1999,573.9165123
,,2000,655.1199452
,,2001,703.6838434
,,2002,763.080638
,,2003,883.7339715
,,2004,1045.009379
,,2005,1578.40239
,,2006,2473.081819
,,2007,3851.437869
,,2008,5574.603802
,,2009,4950.294791
,,2010,5843.533768
,,2011,7189.691229
,,2012,7496.294648
,,2013,7875.756953
,,2014,7891.313147
,,2015,5500.310382
,,2016,3880.738731
,,2017,4147.089716
,,2018,4739.84171
,,2019,4805.753718
,,2020,4229.910649
,,2021,5384.034998
"Bahamas, The",GDP per capita (current US$),1960,1550.267699
,,1961,1651.317673
,,1962,1752.840006
,,1963,1867.010351
,,1964,1994.440497
,,1965,2144.739089
,,1966,2322.705816
,,1967,2556.634267
,,1968,2804.333876
,,1969,3215.153897
,,1970,3178.86332
,,1971,3297.411067
,,1972,3322.219911
,,1973,3696.03182
,,1974,3416.439318
,,1975,3156.250827
,,1976,3328.615937
,,1977,3617.45307
,,1978,4131.386427
,,1979,5533.251938
,,1980,6340.787031
,,1981,6624.992453
,,1982,7168.160885
,,1983,7698.083032
,,1984,8877.705915
,,1985,9893.042003
,,1986,10344.32265
,,1987,11156.55725
,,1988,11387.70908
,,1989,12163.43977
,,1990,12356.231
,,1991,11919.83357
,,1992,11686.73974
,,1993,11406.85813
,,1994,11814.43471
,,1995,12238.60461
,,1996,12708.64145
,,1997,22036.10068
,,1998,23514.17756
,,1999,26130.01296
,,2000,27098.15632
,,2001,27486.23677
,,2002,28867.0825
,,2003,28327.81367
,,2004,28396.01371
,,2005,30279.39221
,,2006,30713.79806
,,2007,31472.28554
,,2008,30627.32775
,,2009,28552.51716
,,2010,28443.88848
,,2011,28005.9124
,,2012,29485.86422
,,2013,28768.77237
,,2014,30154.73862
,,2015,31699.35863
,,2016,31314.84456
,,2017,32371.00818
,,2018,33077.39183
,,2019,33872.33431
,,2020,24665.09683
,,2021,28239.36671
Bahrain,GDP per capita (current US$),1960,
,,1961,
,,1962,
,,1963,
,,1964,
,,1965,
,,1966,
,,1967,
,,1968,
,,1969,
,,1970,
,,1971,
,,1972,
,,1973,
,,1974,
,,1975,
,,1976,
,,1977,
,,1978,
,,1979,
,,1980,8537.71587
,,1981,9269.269617
,,1982,9446.084577
,,1983,9421.356947
,,1984,9590.541794
,,1985,8706.766601
,,1986,7041.634447
,,1987,7554.932192
,,1988,7958.747925
,,1989,8031.00482
,,1990,8529.052127
,,1991,9055.644407
,,1992,9082.827988
,,1993,9698.15289
,,1994,10130.3762
,,1995,10376.9533
,,1996,10544.79468
,,1997,10672.23776
,,1998,10076.26988
,,1999,10401.56215
,,2000,13636.41675
,,2001,12868.17692
,,2002,13049.90973
,,2003,14222.0368
,,2004,15846.50595
,,2005,17959.39683
,,2006,19307.50894
,,2007,20976.44229
,,2008,23066.45098
,,2009,19355.92101
,,2010,20722.07049
,,2011,22514.20272
,,2012,23654.36959
,,2013,24744.29696
,,2014,24989.43753
,,2015,22634.08565
,,2016,22608.45256
,,2017,23742.93734
,,2018,24086.30169
,,2019,23552.37995
,,2020,20406.50233
,,2021,22232.32523
Bangladesh,GDP per capita (current US$),1960,89.03523943
,,1961,97.5952917
,,1962,100.1221296
,,1963,101.9014125
,,1964,100.2211042
,,1965,106.6466444
,,1966,112.6653648
,,1967,122.8706285
,,1968,122.8475975
,,1969,135.1473813
,,1970,140.0027053
,,1971,133.5514189
,,1972,94.38167705
,,1973,119.5597239
,,1974,182.0200185
,,1975,277.5706052
,,1976,141.1971589
,,1977,131.3732273
,,1978,176.0339474
,,1979,200.769677
,,1980,227.7519265
,,1981,247.6496168
,,1982,220.718797
,,1983,204.4176901
,,1984,213.9966386
,,1985,245.4539123
,,1986,233.6580722
,,1987,253.9744737
,,1988,270.6996009
,,1989,285.8292169
,,1990,306.2687008
,,1991,293.1604211
,,1992,293.6449876
,,1993,300.5557477
,,1994,299.5330371
,,1995,329.4240761
,,1996,394.7174919
,,1997,401.4986674
,,1998,407.4291762
,,1999,409.5431838
,,2000,418.0689421
,,2001,415.0344043
,,2002,413.0802826
,,2003,446.3106757
,,2004,475.2919302
,,2005,499.4619402
,,2006,509.6401899
,,2007,558.0518407
,,2008,634.9870697
,,2009,702.2644196
,,2010,781.1535777
,,2011,861.7621622
,,2012,883.1171296
,,2013,981.8608514
,,2014,1118.873808
,,2015,1248.45331
,,2016,1678.95323
,,2017,1839.583378
,,2018,1991.483267
,,2019,2154.226819
,,2020,2270.347535
,,2021,2503.04388
Barbados,GDP per capita (current US$),1960,
,,1961,
,,1962,
,,1963,
,,1964,
,,1965,
,,1966,
,,1967,
,,1968,
,,1969,
,,1970,
,,1971,
,,1972,
,,1973,
,,1974,1274.548372
,,1975,1633.823012
,,1976,1760.660094
,,1977,1988.895188
,,1978,2209.767015
,,1979,2667.079584
,,1980,4010.81119
,,1981,4398.824866
,,1982,4580.97053
,,1983,4851.099555
,,1984,5271.729836
,,1985,5500.414114
,,1986,6019.653244
,,1987,6605.779219
,,1988,6999.876116
,,1989,7717.177449
,,1990,7711.295456
,,1991,7714.742746
,,1992,7444.178173
,,1993,7819.570003
,,1994,8121.561919
,,1995,8335.899293
,,1996,8851.046458
,,1997,9315.967566
,,1998,10459.44247
,,1999,10914.28224
,,2000,11268.42006
,,2001,11209.42112
,,2002,11361.51677
,,2003,11699.37047
,,2004,12512.57797
,,2005,13822.74175
,,2006,15199.39022
,,2007,16770.68777
,,2008,17092.31451
,,2009,15885.96981
,,2010,16056.11685
,,2011,16459.05805
,,2012,16250.01233
,,2013,16452.15271
,,2014,16488.52573
,,2015,16558.86478
,,2016,16909.88655
,,2017,17404.20747
,,2018,17782.87473
,,2019,18480.05659
,,2020,16318.74811
,,2021,17033.93719
Belarus,GDP per capita (current US$),1960,
,,1961,
,,1962,
,,1963,
,,1964,
,,1965,
,,1966,
,,1967,
,,1968,
,,1969,
,,1970,
,,1971,
,,1972,
,,1973,
,,1974,
,,1975,
,,1976,
,,1977,
,,1978,
,,1979,
,,1980,
,,1981,
,,1982,
,,1983,
,,1984,
,,1985,
,,1986,
,,1987,
,,1988,
,,1989,
,,1990,2124.767944
,,1991,1765.735895
,,1992,1667.605057
,,1993,1590.088117
,,1994,1460.0655
,,1995,1370.699283
,,1996,1452.507105
,,1997,1396.442019
,,1998,1511.325316
,,1999,1210.61172
,,2000,1276.288034
,,2001,1244.373185
,,2002,1479.314583
,,2003,1819.766059
,,2004,2378.623286
,,2005,3125.810535
,,2006,3847.434124
,,2007,4735.657608
,,2008,6377.369732
,,2009,5352.583912
,,2010,6033.686239
,,2011,6527.173869
,,2012,6953.132515
,,2013,7998.125239
,,2014,8341.399679
,,2015,5967.052204
,,2016,5039.681886
,,2017,5785.670673
,,2018,6360.062473
,,2019,6837.717826
,,2020,6555.426818
,,2021,7303.696266
Belgium,GDP per capita (current US$),1960,1273.691659
,,1961,1350.197673
,,1962,1438.523233
,,1963,1535.023729
,,1964,1701.846276
,,1965,1835.594766
,,1966,1957.62608
,,1967,2086.636005
,,1968,2222.361511
,,1969,2458.08182
,,1970,2765.890997
,,1971,3082.927989
,,1972,3831.6319
,,1973,4900.962201
,,1974,5733.798139
,,1975,6701.377361
,,1976,7243.047341
,,1977,8426.946959
,,1978,10289.76842
,,1979,11810.61588
,,1980,12864.00257
,,1981,10622.80248
,,1982,9343.8611
,,1983,8846.234298
,,1984,8457.268803
,,1985,8750.818513
,,1986,12170.0407
,,1987,15135.85231
,,1988,16391.09383
,,1989,16525.06174
,,1990,20600.37528
,,1991,21041.66065
,,1992,23372.61917
,,1993,22283.93602
,,1994,24208.55479
,,1995,28413.82644
,,1996,27489.55518
,,1997,24820.93805
,,1998,25338.44329
,,1999,25252.80191
,,2000,23098.88651
,,2001,23015.07126
,,2002,25006.1914
,,2003,30655.20927
,,2004,35429.40779
,,2005,36809.70134
,,2006,38705.1068
,,2007,44319.16545
,,2008,48303.39796
,,2009,44760.29124
,,2010,44184.94635
,,2011,47410.56693
,,2012,44670.56068
,,2013,46757.95186
,,2014,47764.07151
,,2015,41008.29672
,,2016,42012.62272
,,2017,44198.48239
,,2018,47549.20805
,,2019,46599.11134
,,2020,45189.3669
,,2021,51767.78857
Belize,GDP per capita (current US$),1960,304.9038598
,,1961,316.4136295
,,1962,327.0999965
,,1963,336.9381023
,,1964,351.1611263
,,1965,377.590747
,,1966,406.0942533
,,1967,420.3759336
,,1968,386.9399013
,,1969,396.6277006
,,1970,435.6833377
,,1971,474.4366126
,,1972,519.5553353
,,1973,605.9334407
,,1974,786.0810652
,,1975,885.9579357
,,1976,717.061406
,,1977,858.8218118
,,1978,980.7519338
,,1979,1074.294773
,,1980,1373.216845
,,1981,1328.774121
,,1982,1202.793176
,,1983,1232.853202
,,1984,1337.03762
,,1985,1289.390744
,,1986,1366.041674
,,1987,1612.331335
,,1988,1788.00132
,,1989,2011.946797
,,1990,2197.161593
,,1991,2326.724165
,,1992,2668.531422
,,1993,2834.688425
,,1994,2882.152083
,,1995,2997.760458
,,1996,3003.182627
,,1997,2954.227237
,,1998,2993.033599
,,1999,3066.095138
,,2000,3364.491731
,,2001,3417.090224
,,2002,3553.121378
,,2003,3677.152002
,,2004,3824.927382
,,2005,3916.355378
,,2006,4157.193035
,,2007,4290.901445
,,2008,4408.382931
,,2009,4196.995031
,,2010,4304.111108
,,2011,4441.738755
,,2012,4530.604801
,,2013,4575.680956
,,2014,4744.108945
,,2015,4805.196852
,,2016,4877.670506
,,2017,4909.604664
,,2018,4927.194224
,,2019,4983.336114
,,2020,3987.796596
,,2021,4420.491372
Benin,GDP per capita (current US$),1960,93.02270027
,,1961,95.57223223
,,1962,94.46449724
,,1963,99.85891753
,,1964,104.3399294
,,1965,110.1325846
,,1966,112.9408364
,,1967,111.951561
,,1968,116.8951498
,,1969,116.0252571
,,1970,114.5566751
,,1971,112.5699756
,,1972,134.8195851
,,1973,161.9870615
,,1974,174.0140945
,,1975,207.3003128
,,1976,208.6564032
,,1977,218.453984
,,1978,263.5814315
,,1979,327.8223122
,,1980,378.0443051
,,1981,337.9783717
,,1982,322.7774529
,,1983,271.1298442
,,1984,252.869785
,,1985,244.4109417
,,1986,303.3490356
,,1987,344.5031468
,,1988,346.7366313
,,1989,311.6780452
,,1990,393.686768
,,1991,385.7538407
,,1992,317.962736
,,1993,411.9261797
,,1994,279.666749
,,1995,367.3877143
,,1996,387.4320982
,,1997,361.0999824
,,1998,379.4417675
,,1999,551.8214294
,,2000,512.673902
,,2001,518.0674741
,,2002,574.9297982
,,2003,711.2849548
,,2004,798.7443045
,,2005,822.7851431
,,2006,856.0549166
,,2007,966.2036183
,,2008,1125.426134
,,2009,1088.757906
,,2010,1036.534515
,,2011,1130.273251
,,2012,1145.140105
,,2013,1251.209767
,,2014,1291.410185
,,2015,1076.796698
,,2016,1087.287331
,,2017,1136.593872
,,2018,1241.825298
,,2019,1219.515506
,,2020,1291.040972
,,2021,1428.447177
Bermuda,GDP per capita (current US$),1960,1902.402119
,,1961,1961.538169
,,1962,2020.385965
,,1963,2020.265247
,,1964,2199.727007
,,1965,2282.216546
,,1966,2630.850466
,,1967,2982.749704
,,1968,2830.188679
,,1969,3053.703704
,,1970,3387.272727
,,1971,3866.300366
,,1972,4343.173432
,,1973,5009.29368
,,1974,5853.932584
,,1975,6509.433962
,,1976,7261.278195
,,1977,8370.786517
,,1978,8876.865672
,,1979,9613.3829
,,1980,11218.21782
,,1981,13425.97697
,,1982,14166.17129
,,1983,15902.02038
,,1984,17469.82557
,,1985,18269.53552
,,1986,20450.66453
,,1987,22411.79567
,,1988,24253.17552
,,1989,25517.92172
,,1990,26841.51974
,,1991,27700.31006
,,1992,28669.68171
,,1993,30900.69428
,,1994,31476.06372
,,1995,33989.72316
,,1996,44826.78907
,,1997,48478.88325
,,1998,51371.74081
,,1999,54245.45974
,,2000,56284.16865
,,2001,58883.95943
,,2002,62583.1002
,,2003,66111.72523
,,2004,70359.31911
,,2005,75882.03386
,,2006,95221.85887
,,2007,104287.3875
,,2008,106935.4863
,,2009,101407.764
,,2010,101875.2841
,,2011,97774.16207
,,2012,98431.86518
,,2013,99471.6389
,,2014,98467.68399
,,2015,102005.6256
,,2016,106885.8785
,,2017,111820.5815
,,2018,113050.7369
,,2019,116153.1661
,,2020,107706.0398
,,2021,110869.4631
Bhutan,GDP per capita (current US$),1960,
,,1961,
,,1962,
,,1963,
,,1964,
,,1965,
,,1966,
,,1967,
,,1968,
,,1969,
,,1970,
,,1971,
,,1972,
,,1973,
,,1974,
,,1975,
,,1976,
,,1977,
,,1978,
,,1979,
,,1980,316.3499358
,,1981,332.8105995
,,1982,329.573352
,,1983,356.2505646
,,1984,355.4158972
,,1985,351.6798951
,,1986,399.4935001
,,1987,491.1278109
,,1988,534.2961879
,,1989,506.9683935
,,1990,541.9322571
,,1991,449.5012422
,,1992,449.4004282
,,1993,424.3378418
,,1994,486.9019801
,,1995,543.3016187
,,1996,560.391079
,,1997,638.4858666
,,1998,643.9882263
,,1999,690.9127435
,,2000,718.196337
,,2001,764.4328082
,,2002,845.5006721
,,2003,962.0953713
,,2004,1068.431811
,,2005,1228.432356
,,2006,1330.977444
,,2007,1757.190496
,,2008,1828.154677
,,2009,1819.19731
,,2010,2258.186435
,,2011,2563.261224
,,2012,2538.949519
,,2013,2472.724753
,,2014,2652.225654
,,2015,2752.630172
,,2016,2930.574923
,,2017,3286.596744
,,2018,3243.477437
,,2019,3322.863329
,,2020,3000.777986
,,2021,
Bolivia,GDP per capita (current US$),1960,102.2377224
,,1961,109.061304
,,1962,116.9249682
,,1963,123.4293413
,,1964,136.312362
,,1965,149.6403332
,,1966,162.3260545
,,1967,179.5830384
,,1968,199.6295674
,,1969,211.7970162
,,1970,226.8069714
,,1971,239.1274987
,,1972,268.5840154
,,1973,263.8927461
,,1974,429.2975596
,,1975,480.8036551
,,1976,534.2732859
,,1977,617.3068292
,,1978,703.1354273
,,1979,809.4121785
,,1980,813.1797668
,,1981,1034.141713
,,1982,962.1237421
,,1983,914.0111411
,,1984,1019.054038
,,1985,870.185527
,,1986,627.5635511
,,1987,674.8525705
,,1988,698.6920119
,,1989,701.6659126
,,1990,709.0599791
,,1991,762.077719
,,1992,788.15232
,,1993,784.1909983
,,1994,801.046134
,,1995,880.9926836
,,1996,950.8563811
,,1997,998.5159556
,,1998,1049.499367
,,1999,1003.392226
,,2000,997.5817508
,,2001,948.8702043
,,2002,904.2257919
,,2003,907.5374099
,,2004,967.40646
,,2005,1034.311806
,,2006,1218.874074
,,2007,1372.628374
,,2008,1715.208395
,,2009,1754.209467
,,2010,1955.460181
,,2011,2346.337844
,,2012,2609.880562
,,2013,2908.200371
,,2014,3081.878824
,,2015,3035.971655
,,2016,3076.656439
,,2017,3351.124344
,,2018,3548.59078
,,2019,3552.068144
,,2020,3137.989617
,,2021,3414.892849
Bosnia and Herzegovina,GDP per capita (current US$),1960,
,,1961,
,,1962,
,,1963,
,,1964,
,,1965,
,,1966,
,,1967,
,,1968,
,,1969,
,,1970,
,,1971,
,,1972,
,,1973,
,,1974,
,,1975,
,,1976,
,,1977,
,,1978,
,,1979,
,,1980,
,,1981,
,,1982,
,,1983,
,,1984,
,,1985,
,,1986,
,,1987,
,,1988,
,,1989,
,,1990,
,,1991,
,,1992,
,,1993,
,,1994,319.012792
,,1995,487.4769045
,,1996,740.0996865
,,1997,982.8018491
,,1998,1102.390688
,,1999,1251.747595
,,2000,1484.176057
,,2001,1544.602072
,,2002,1789.857692
,,2003,2258.946445
,,2004,2698.46718
,,2005,2980.601267
,,2006,3416.512376
,,2007,4193.368005
,,2008,5090.945825
,,2009,4714.693737
,,2010,4635.5102
,,2011,5092.554725
,,2012,4777.06692
,,2013,5129.663534
,,2014,5330.355078
,,2015,4729.690054
,,2016,4994.971623
,,2017,5394.26914
,,2018,6070.35298
,,2019,6119.762351
,,2020,6082.36673
,,2021,6916.438315
Botswana,GDP per capita (current US$),1960,60.493958
,,1961,64.17613957
,,1962,68.05034896
,,1963,71.10643908
,,1964,75.95591847
,,1965,81.76999433
,,1966,89.97955291
,,1967,100.4051435
,,1968,110.9786423
,,1969,126.5455484
,,1970,153.3263787
,,1971,197.1942216
,,1972,246.5415378
,,1973,353.8584793
,,1974,428.1984332
,,1975,479.0912931
,,1976,483.1413197
,,1977,564.129011
,,1978,709.189338
,,1979,947.7550457
,,1980,1181.61387
,,1981,1154.178578
,,1982,1054.055946
,,1983,1176.819535
,,1984,1202.976002
,,1985,1042.239754
,,1986,1253.555317
,,1987,1701.678133
,,1988,2203.646615
,,1989,2477.975358
,,1990,2945.83204
,,1991,2972.728953
,,1992,3040.989396
,,1993,2973.380401
,,1994,2970.118425
,,1995,3219.914242
,,1996,3221.689056
,,1997,3258.982428
,,1998,3039.964944
,,1999,3405.821058
,,2000,3522.310821
,,2001,3278.016079
,,2002,3190.624811
,,2003,4330.972369
,,2004,5073.520408
,,2005,5513.331063
,,2006,5521.990608
,,2007,5832.737052
,,2008,5713.543931
,,2009,5255.776533
,,2010,6434.812485
,,2011,7617.310041
,,2012,7050.573472
,,2013,7224.912737
,,2014,7495.220866
,,2015,6402.910183
,,2016,6982.917492
,,2017,7296.092142
,,2018,7503.878588
,,2019,7247.429476
,,2020,6348.832318
,,2021,7347.552382
Brazil,GDP per capita (current US$),1960,235.9468833
,,1961,232.4805462
,,1962,251.3483174
,,1963,295.6319708
,,1964,258.6053707
,,1965,269.45629
,,1966,330.0405859
,,1967,353.1107106
,,1968,375.3905735
,,1969,400.7870694
,,1970,445.0237808
,,1971,501.3168142
,,1972,585.171405
,,1973,817.4524452
,,1974,1048.596235
,,1975,1205.074834
,,1976,1395.096399
,,1977,1568.543354
,,1978,1739.720566
,,1979,1877.682272
,,1980,1966.903626
,,1981,2088.002687
,,1982,2144.804053
,,1983,1465.108092
,,1984,1422.683914
,,1985,1301.976812
,,1986,1563.104249
,,1987,1685.82069
,,1988,1801.995555
,,1989,2371.572196
,,1990,2622.262881
,,1991,2259.239894
,,1992,2127.50719
,,1993,2348.090047
